Company	Role / Title	Job Type	Experience Level	Location / Remote	Salary / CTC / Stipend	Match Fit	Apply Link
Scaleai	AI Upskilling Lead	Senior / Lead (5+ yrs)	5+ yrs	Doha, Qatar 	Competitive (Market Standard)	70%	https://job-boards.greenhouse.io/scaleai/jobs/4588236005
Scaleai	[Annotations] Operations Program Manager	Senior / Lead (5+ yrs)	5+ yrs	Mexico City, MX	Competitive (Market Standard)	70%	https://job-boards.greenhouse.io/scaleai/jobs/4655240005
Spotify	Analytics Engineer II	Full-Time (General)	1-3 yrs (Standard)	Stockholm	Competitive (Market Standard)	70%	https://jobs.lever.co/spotify/08d82da1-0c72-44d1-91eb-7fa22dee3d39
Palantir	Backend Software Engineer - Defense	Full-Time (General)	1-3 yrs (Standard)	Washington, D.C.	$135,000 - $200,000 / yr	70%	https://jobs.lever.co/palantir/1345438c-ebfc-4fa5-b545-30c1414f317c
Palantir	Backend Software Engineer - Defense	Full-Time (General)	1-3 yrs (Standard)	Palo Alto, CA	$135,000 - $200,000 / yr	70%	https://jobs.lever.co/palantir/a8174f9c-6f46-46b4-8e15-d1ff9e37c9eb
Palantir	Backend Software Engineer - Defense	Full-Time (General)	1-3 yrs (Standard)	New York, NY	$135,000 - $200,000 / yr	70%	https://jobs.lever.co/palantir/d33e0c31-ac7e-4f57-ba74-36f2df6ae2f5
Ramp	Partner Development Representative | Accounting 	Full-Time (General)	1-3 yrs (Standard)	New York, NY (HQ)	Competitive (Market Standard)	69%	https://jobs.ashbyhq.com/ramp/b55447c0-4adc-42eb-9ca2-f88fd44e0e5b/application
Ramp	Manager, Account Executive | Mid-Market	Senior / Lead (5+ yrs)	3+ yrs	New York, NY (HQ)	Competitive (Market Standard)	69%	https://jobs.ashbyhq.com/ramp/60ed4fac-3833-4495-9b0f-75e6dfe4b36c/application
Ramp	Account Manager | Commercial	Senior / Lead (5+ yrs)	3+ yrs	New York, NY (HQ)	Competitive (Market Standard)	69%	https://jobs.ashbyhq.com/ramp/b9568fb8-a47e-4738-87fb-a6d88c3a505f/application
Stripe	Account Executive, Enterprise - Grower	Full-Time (General)	1-3 yrs (Standard)	US-New York, US-Chicago, US-Atlanta, US-San Francisco, US-Texas	Competitive (Market Standard)	69%	https://stripe.com/jobs/search?gh_jid=7997555
Airbnb	AMER Gathering Programs Manager	Senior / Lead (5+ yrs)	5+ yrs	New York, United States, Los Angeles, United States	Competitive (Market Standard)	69%	https://careers.airbnb.com/positions/8067991?gh_jid=8067991
Airbnb	Community Support Forecasting and Demand Planning Analyst	Full-Time (General)	1-3 yrs (Standard)	United States 	Competitive (Market Standard)	69%	https://careers.airbnb.com/positions/7839229?gh_jid=7839229
Airbnb	(Contract) Senior Data Scientist, Platform Inference - MarTech DS Measurement	Senior / Lead (5+ yrs)	5+ yrs	United States	Competitive (Market Standard)	69%	https://careers.airbnb.com/positions/7732569?gh_jid=7732569
Airbnb	Creative Producer, Experiential 	Full-Time (General)	1-3 yrs (Standard)	San Francisco	Competitive (Market Standard)	69%	https://careers.airbnb.com/positions/8008818?gh_jid=8008818
Postman	Account Development Representative	Full-Time (General)	1-3 yrs (Standard)	New York, New York, United States	Competitive (Market Standard)	69%	https://job-boards.greenhouse.io/postman/jobs/7866800003
Postman	Account Development Representative	Full-Time (General)	1-3 yrs (Standard)	Australia	Competitive (Market Standard)	69%	https://job-boards.greenhouse.io/postman/jobs/7812973003
Postman	Account Development Representative	Full-Time (General)	1-3 yrs (Standard)	Austin, Texas, United States	Competitive (Market Standard)	69%	https://job-boards.greenhouse.io/postman/jobs/6561542003
Postman	Account Development Representative	Full-Time (General)	1-3 yrs (Standard)	Dubai, Dubai, United Arab Emirates	Competitive (Market Standard)	69%	https://job-boards.greenhouse.io/postman/jobs/7762097003
Postman	Account Development Representative	Full-Time (General)	1-3 yrs (Standard)	Singapore	Competitive (Market Standard)	69%	https://job-boards.greenhouse.io/postman/jobs/7801476003
Postman	Account Development Representative (Portuguese & Spanish Speaking)	Full-Time (General)	1-3 yrs (Standard)	Austin, Texas, United States	Competitive (Market Standard)	69%	https://job-boards.greenhouse.io/postman/jobs/7491503003
Databricks	デリバリーソリューションアーキテクト	Full-Time (General)	1-3 yrs (Standard)	Tokyo, Japan	Competitive (Market Standard)	69%	https://databricks.com/company/careers/open-positions/job?gh_jid=8428882002
Databricks	Account Executive - Federal	Full-Time (General)	1-3 yrs (Standard)	Australian Capital Territory, Australia	Competitive (Market Standard)	69%	https://databricks.com/company/careers/open-positions/job?gh_jid=8441877002
Databricks	Account Executive, Singapore	Full-Time (General)	1-3 yrs (Standard)	Singapore	Competitive (Market Standard)	69%	https://databricks.com/company/careers/open-positions/job?gh_jid=7726495002
Databricks	Accounting Manager	Senior / Lead (5+ yrs)	5+ yrs	San Francisco, California	Competitive (Market Standard)	69%	https://databricks.com/company/careers/open-positions/job?gh_jid=8604614002
Cloudflare	Account Executive, FedCiv	Full-Time (General)	1-3 yrs (Standard)	Hybrid	Competitive (Market Standard)	69%	https://boards.greenhouse.io/cloudflare/jobs/7695702?gh_jid=7695702
Cloudflare	Business Development Representative - German Speaking	Full-Time (General)	1-3 yrs (Standard)	Hybrid	Competitive (Market Standard)	69%	https://boards.greenhouse.io/cloudflare/jobs/7504487?gh_jid=7504487
Robinhood	Android Engineer, Government Products	Full-Time (General)	1-3 yrs (Standard)	New York, NY	Competitive (Market Standard)	69%	https://boards.greenhouse.io/robinhood/jobs/6669758?t=gh_src=&gh_jid=6669758
Robinhood	Android Engineer, Money Experience	Full-Time (General)	1-3 yrs (Standard)	Menlo Park, CA	Competitive (Market Standard)	69%	https://boards.greenhouse.io/robinhood/jobs/7350823?t=gh_src=&gh_jid=7350823
Robinhood	Business Development Desk Manager	Senior / Lead (5+ yrs)	5+ yrs	Denver, CO; Westlake, TX	Competitive (Market Standard)	69%	https://boards.greenhouse.io/robinhood/jobs/8128629?t=gh_src=&gh_jid=8128629
Robinhood	Corporate Finance Analyst	Full-Time (General)	1-3 yrs (Standard)	Menlo Park, CA; New York, NY	Competitive (Market Standard)	69%	https://boards.greenhouse.io/robinhood/jobs/8090105?t=gh_src=&gh_jid=8090105
Robinhood	Crypto AML Program Manager	Senior / Lead (5+ yrs)	5+ yrs	Denver, CO; Menlo Park, CA; New York, NY; Westlake, TX	Competitive (Market Standard)	69%	https://boards.greenhouse.io/robinhood/jobs/8060590?t=gh_src=&gh_jid=8060590
Discord	Advertising Operations Manager	Senior / Lead (5+ yrs)	5+ yrs	San Francisco Bay Area	Competitive (Market Standard)	69%	https://job-boards.greenhouse.io/discord/jobs/8686353002
Discord	Director of Engineering, Safety	Senior / Lead (5+ yrs)	5+ yrs	San Francisco Bay Area	Competitive (Market Standard)	69%	https://job-boards.greenhouse.io/discord/jobs/8571766002
Discord	Engineering Manager, Platform Security	Senior / Lead (5+ yrs)	5+ yrs	San Francisco Bay Area 	Competitive (Market Standard)	69%	https://job-boards.greenhouse.io/discord/jobs/8649856002
Discord	Engineering Manager, Safety	Senior / Lead (5+ yrs)	5+ yrs	San Francisco Bay Area 	Competitive (Market Standard)	69%	https://job-boards.greenhouse.io/discord/jobs/8637688002
Scaleai	[Annotations] Operations Associate	Full-Time (General)	1-3 yrs (Standard)	Mexico City, MX	Competitive (Market Standard)	69%	https://job-boards.greenhouse.io/scaleai/jobs/4655244005
Gusto	Benefits Advising (Renewals) Leader	Senior / Lead (5+ yrs)	5+ yrs	Denver, CO	Competitive (Market Standard)	69%	https://job-boards.greenhouse.io/gusto/jobs/8078212
Gusto	Data Scientist, Risk 	Full-Time (General)	1-3 yrs (Standard)	San Francisco, CA	Competitive (Market Standard)	69%	https://job-boards.greenhouse.io/gusto/jobs/7656216
Gusto	Design Systems, Product Designer	Full-Time (General)	1-3 yrs (Standard)	Denver, CO - Hybrid; New York, New York, United States; San Francisco, CA - Hybrid	Competitive (Market Standard)	69%	https://job-boards.greenhouse.io/gusto/jobs/8111984
Gusto	Enablement Manager, Partners	Senior / Lead (5+ yrs)	5+ yrs	Scottsdale, AZ;Denver, CO;San Francisco, CA	Competitive (Market Standard)	69%	https://job-boards.greenhouse.io/gusto/jobs/8094358
Gusto	ERP Applications Analyst - Order to Cash	Full-Time (General)	1-3 yrs (Standard)	San Francisco, CA	Competitive (Market Standard)	69%	https://job-boards.greenhouse.io/gusto/jobs/8039570
Mongodb	Account Development Representative, Arabic Speaking	Full-Time (General)	1-3 yrs (Standard)	Dublin	Competitive (Market Standard)	69%	https://www.mongodb.com/careers/job/?gh_jid=7334950
Mongodb	Account Development Representative, French Speaking	Full-Time (General)	1-3 yrs (Standard)	Dublin	Competitive (Market Standard)	69%	https://www.mongodb.com/careers/job/?gh_jid=7335567
Mongodb	Account Development Representative, Hebrew Speaking	Full-Time (General)	1-3 yrs (Standard)	Tel Aviv	Competitive (Market Standard)	69%	https://www.mongodb.com/careers/job/?gh_jid=7334938
Mongodb	Account Development Representative, Italian Speaking	Full-Time (General)	1-3 yrs (Standard)	Dublin	Competitive (Market Standard)	69%	https://www.mongodb.com/careers/job/?gh_jid=7338090
Mongodb	Account Development Representative - Mandarin Speaking	Full-Time (General)	1-3 yrs (Standard)	Kuala Lumpur	Competitive (Market Standard)	69%	https://www.mongodb.com/careers/job/?gh_jid=7566671
Spotify	Android Engineer - Experience	Full-Time (General)	1-3 yrs (Standard)	London	Competitive (Market Standard)	69%	https://jobs.lever.co/spotify/2193db3f-77c5-43b8-b030-8f92c9882bf1
Spotify	Business Development Senior Manager, APAC	Senior / Lead (5+ yrs)	5+ yrs	Singapore	Competitive (Market Standard)	69%	https://jobs.lever.co/spotify/973b0b71-e8d2-4d7d-9c4b-1c716bd45c8b
Palantir	Administrative Business Partner	Full-Time (General)	1-3 yrs (Standard)	London, United Kingdom	Competitive (Market Standard)	69%	https://jobs.lever.co/palantir/ac978161-6f46-4f6b-ad9e-a258e642751c
Palantir	Administrative Business Partner - Security	Full-Time (General)	1-3 yrs (Standard)	Palo Alto, CA	$60,000 - $97,000 / yr	69%	https://jobs.lever.co/palantir/0bbfd4f4-41ff-4ec6-b73f-5200efd5d4d3
Palantir	Administrative Business Partner - Security	Full-Time (General)	1-3 yrs (Standard)	New York, NY	$60,000 - $97,000 / yr	69%	https://jobs.lever.co/palantir/fe2a8c69-49b7-405f-816c-a6c6f894399a
Palantir	Administrative Business Partner - ShipOS	Full-Time (General)	1-3 yrs (Standard)	Washington, D.C.	$60,000 - $97,000 / yr	69%	https://jobs.lever.co/palantir/a237973c-cb29-41fe-9c80-416e6f42e087
Palantir	Administrative Business Partner - ShipOS	Full-Time (General)	1-3 yrs (Standard)	New York, NY	$60,000 - $97,000 / yr	69%	https://jobs.lever.co/palantir/a5f93bb6-4f13-4451-80a4-f63090830269
Stripe	Account Executive, Bridge 	Full-Time (General)	1-3 yrs (Standard)	SF, NYC, SEA, CHI	Competitive (Market Standard)	68%	https://stripe.com/jobs/search?gh_jid=8077887
Stripe	Account Executive, Bridge (Stripe Crypto and Stablecoins)	Full-Time (General)	1-3 yrs (Standard)	London	Competitive (Market Standard)	68%	https://stripe.com/jobs/search?gh_jid=8023928
Stripe	Account Executive, Commercial (Grower)	Full-Time (General)	1-3 yrs (Standard)	Chicago	Competitive (Market Standard)	68%	https://stripe.com/jobs/search?gh_jid=8123027
Stripe	Account Executive, Commercial Grower (Japanese Fluency)	Full-Time (General)	1-3 yrs (Standard)	Japan	Competitive (Market Standard)	68%	https://stripe.com/jobs/search?gh_jid=8042978
Stripe	Account Executive, Commercial Hunter (Japanese Fluency)	Full-Time (General)	1-3 yrs (Standard)	Japan	Competitive (Market Standard)	68%	https://stripe.com/jobs/search?gh_jid=7789539
Stripe	Account Executive, Cross Border China	Full-Time (General)	1-3 yrs (Standard)	Singapore	Competitive (Market Standard)	68%	https://stripe.com/jobs/search?gh_jid=7893199
Stripe	Account Executive, Crypto/Stablecoins 	Full-Time (General)	1-3 yrs (Standard)	Singapore	Competitive (Market Standard)	68%	https://stripe.com/jobs/search?gh_jid=8041076
Stripe	Account Executive, Enterprise (Canada) 	Full-Time (General)	1-3 yrs (Standard)	CA-Toronto, CA-Montreal, CA-Vancouver 	Competitive (Market Standard)	68%	https://stripe.com/jobs/search?gh_jid=8119822
Stripe	Account Executive - Enterprise, Growth	Full-Time (General)	1-3 yrs (Standard)	US-San Francisco, US-California, US-Chicago	Competitive (Market Standard)	68%	https://stripe.com/jobs/search?gh_jid=7997146
Figma	Account Executive, Emerging Enterprise (Berlin, Germany)	Full-Time (General)	1-3 yrs (Standard)	Berlin, Germany	Competitive (Market Standard)	68%	https://boards.greenhouse.io/figma/jobs/5364702004?gh_jid=5364702004
Figma	Account Executive, Enterprise	Full-Time (General)	1-3 yrs (Standard)	San Francisco, CA • New York, NY • United States	Competitive (Market Standard)	68%	https://boards.greenhouse.io/figma/jobs/5426468004?gh_jid=5426468004
Figma	Account Executive, Enterprise (Berlin, Germany)	Full-Time (General)	1-3 yrs (Standard)	Berlin, Germany	Competitive (Market Standard)	68%	https://boards.greenhouse.io/figma/jobs/5783812004?gh_jid=5783812004
Figma	Account Executive, Enterprise (Paris, France) 	Full-Time (General)	1-3 yrs (Standard)	Paris, France	Competitive (Market Standard)	68%	https://boards.greenhouse.io/figma/jobs/5428656004?gh_jid=5428656004
Figma	Account Executive, Enterprise (Singapore)	Full-Time (General)	1-3 yrs (Standard)	Singapore	Competitive (Market Standard)	68%	https://boards.greenhouse.io/figma/jobs/5753209004?gh_jid=5753209004
Figma	Account Executive, Enterprise (Sydney or Melbourne, Australia)	Full-Time (General)	1-3 yrs (Standard)	Sydney, Australia • Melbourne, Australia	Competitive (Market Standard)	68%	https://boards.greenhouse.io/figma/jobs/5803515004?gh_jid=5803515004
Figma	Account Executive, Enterprise (Tokyo, Japan) 	Full-Time (General)	1-3 yrs (Standard)	Tokyo, Japan	Competitive (Market Standard)	68%	https://boards.greenhouse.io/figma/jobs/5806875004?gh_jid=5806875004
