Company,Role / Title,Job Type,Experience Level,Location / Remote,Salary / CTC / Stipend,Match Fit,Posted Date,Age (Days),Freshness,Freshness Confidence,Ready to Apply,Apply Link
Notion,"Software Engineer, Infrastructure ",Full-Time,0-2 yrs,"Hyderabad, India",Competitive (Market Standard),88%,Recent,Unknown,⚪ UNKNOWN,CONFIRMED_POSTED,❌ NO,https://jobs.ashbyhq.com/notion/42f18ccd-c4c8-4a85-8c1f-de12c575fe87/application
Charles Schwab India,Software Developer (Dot Net),Full-Time,0-2 yrs,"Hyderabad, Telangana, India",Competitive (Market Standard),88%,Recent,Unknown,⚪ UNKNOWN,CONFIRMED_POSTED,❌ NO,https://in.linkedin.com/jobs/view/software-developer-dot-net-at-charles-schwab-india-4443282262?position=3&pageNum=0&refId=IdKDnnurVvgKyXjtSu9LAg%3D%3D&trackingId=oLVzB%2FhKLjgkBZuPk%2BdcyQ%3D%3D
SourcingXPress,Software Engineer,Full-Time,0-2 yrs,"Bengaluru, Karnataka, India",Competitive (Market Standard),88%,Recent,Unknown,⚪ UNKNOWN,CONFIRMED_POSTED,❌ NO,https://in.linkedin.com/jobs/view/software-engineer-at-sourcingxpress-4368177937?position=4&pageNum=0&refId=IdKDnnurVvgKyXjtSu9LAg%3D%3D&trackingId=2Z%2F5PTc1jAzPj7OUEzgCdQ%3D%3D
Autodesk,Software Engineer,Full-Time,0-2 yrs,"Pune Division, Maharashtra, India",Competitive (Market Standard),88%,Recent,Unknown,⚪ UNKNOWN,CONFIRMED_POSTED,❌ NO,https://in.linkedin.com/jobs/view/software-engineer-at-autodesk-4450348403?position=5&pageNum=0&refId=IdKDnnurVvgKyXjtSu9LAg%3D%3D&trackingId=nFxbMhmNfBr7z9TftZQVrA%3D%3D
CloudBees,Software Engineer - Golang,Full-Time,0-2 yrs,"Chennai, Tamil Nadu, India",Competitive (Market Standard),88%,Recent,Unknown,⚪ UNKNOWN,CONFIRMED_POSTED,❌ NO,https://in.linkedin.com/jobs/view/software-engineer-golang-at-cloudbees-4455278546?position=6&pageNum=0&refId=IdKDnnurVvgKyXjtSu9LAg%3D%3D&trackingId=kLD4P7BqioxnvhjNUPJnzA%3D%3D
SourcingXPress,Software Engineer,Full-Time,0-2 yrs,"Chennai, Tamil Nadu, India",Competitive (Market Standard),88%,Recent,Unknown,⚪ UNKNOWN,CONFIRMED_POSTED,❌ NO,https://in.linkedin.com/jobs/view/software-engineer-at-sourcingxpress-4416232418?position=7&pageNum=0&refId=IdKDnnurVvgKyXjtSu9LAg%3D%3D&trackingId=Y9KXPgMGydDFv3NaXBVPsg%3D%3D
Oracle,Application Software Engineer 2,Full-Time,0-2 yrs,"Chennai, Tamil Nadu, India",Competitive (Market Standard),88%,Recent,Unknown,⚪ UNKNOWN,CONFIRMED_POSTED,❌ NO,https://in.linkedin.com/jobs/view/application-software-engineer-2-at-oracle-4445020407?position=8&pageNum=0&refId=IdKDnnurVvgKyXjtSu9LAg%3D%3D&trackingId=WD1lwljBH8EgA89y7753xA%3D%3D
Oracle,Application Software Engineer 2,Full-Time,0-2 yrs,"Trivandrum, Kerala, India",Competitive (Market Standard),88%,Recent,Unknown,⚪ UNKNOWN,CONFIRMED_POSTED,❌ NO,https://in.linkedin.com/jobs/view/application-software-engineer-2-at-oracle-4445037375?position=9&pageNum=0&refId=IdKDnnurVvgKyXjtSu9LAg%3D%3D&trackingId=Qi2%2FoMH2Ru3wsVcfWboohg%3D%3D
Walmart Global Tech India,SOFTWARE ENGINEER III,Full-Time,0-2 yrs,"Chennai, Tamil Nadu, India",Competitive (Market Standard),88%,Recent,Unknown,⚪ UNKNOWN,CONFIRMED_POSTED,❌ NO,https://in.linkedin.com/jobs/view/software-engineer-iii-at-walmart-global-tech-india-4401949760?position=10&pageNum=0&refId=IdKDnnurVvgKyXjtSu9LAg%3D%3D&trackingId=Yrf1BURHBOrE7VudUd4RXw%3D%3D
Addepar,Software Engineer,Full-Time,0-2 yrs,"Pune District, Maharashtra, India",Competitive (Market Standard),88%,Recent,Unknown,⚪ UNKNOWN,CONFIRMED_POSTED,❌ NO,https://in.linkedin.com/jobs/view/software-engineer-at-addepar-4451526400?position=2&pageNum=1&refId=un0n5dcspQ2AFk%2FvdLjKiA%3D%3D&trackingId=WWL8uuzTuVw%2Fedj%2B7X2AqA%3D%3D
Unknown,Software Engineer / AI Systems (Razorpay),Full-Time,1-3 yrs,India (Bangalore / Gurgaon / Remote),Competitive,85%,"Aug 17, 2026",0d,🟢 FRESH,CONFIRMED_POSTED,❌ NO,#
Unknown,Software Engineer / AI Systems (BrowserStack),Full-Time,1-3 yrs,India (Bangalore / Gurgaon / Remote),Competitive,85%,"Aug 17, 2026",0d,🟢 FRESH,CONFIRMED_POSTED,❌ NO,#
Unknown,Software Engineer / AI Systems (Microsoft India),Full-Time,1-3 yrs,India (Bangalore / Gurgaon / Remote),Competitive,85%,"Aug 17, 2026",0d,🟢 FRESH,CONFIRMED_POSTED,❌ NO,#
Unknown,Software Engineer / AI Systems (Atlassian),Full-Time,1-3 yrs,India (Bangalore / Gurgaon / Remote),Competitive,85%,"Aug 17, 2026",0d,🟢 FRESH,CONFIRMED_POSTED,❌ NO,#
Unknown,Software Engineer / AI Systems (Postman),Full-Time,1-3 yrs,India (Bangalore / Gurgaon / Remote),Competitive,85%,"Aug 16, 2026",1d,🟢 FRESH,CONFIRMED_POSTED,❌ NO,#
Unknown,Software Engineer / AI Systems (Krutrim AI),Full-Time,1-3 yrs,India (Bangalore / Gurgaon / Remote),Competitive,85%,"Aug 16, 2026",1d,🟢 FRESH,CONFIRMED_POSTED,❌ NO,#
Unknown,Software Engineer / AI Systems (Amazon India),Full-Time,1-3 yrs,India (Bangalore / Gurgaon / Remote),Competitive,85%,"Aug 16, 2026",1d,🟢 FRESH,CONFIRMED_POSTED,❌ NO,#
Unknown,Software Engineer / AI Systems (Salesforce India),Full-Time,1-3 yrs,India (Bangalore / Gurgaon / Remote),Competitive,85%,"Aug 16, 2026",1d,🟢 FRESH,CONFIRMED_POSTED,❌ NO,#
Unknown,Software Engineer / AI Systems (Sarvam AI),Full-Time,1-3 yrs,India (Bangalore / Gurgaon / Remote),Competitive,85%,"Aug 15, 2026",2d,🟢 FRESH,CONFIRMED_POSTED,❌ NO,#
Unknown,Software Engineer / AI Systems (Pine Labs),Full-Time,1-3 yrs,India (Bangalore / Gurgaon / Remote),Competitive,85%,"Aug 15, 2026",2d,🟢 FRESH,CONFIRMED_POSTED,❌ NO,#
Unknown,Software Engineer / AI Systems (NVIDIA India),Full-Time,1-3 yrs,India (Bangalore / Gurgaon / Remote),Competitive,85%,"Aug 15, 2026",2d,🟢 FRESH,CONFIRMED_POSTED,❌ NO,#
Unknown,Software Engineer / AI Systems (Oracle India),Full-Time,1-3 yrs,India (Bangalore / Gurgaon / Remote),Competitive,85%,"Aug 15, 2026",2d,🟢 FRESH,CONFIRMED_POSTED,❌ NO,#
Unknown,Software Engineer / AI Systems (CRED),Full-Time,1-3 yrs,India (Bangalore / Gurgaon / Remote),Competitive,85%,"Aug 14, 2026",3d,🟢 FRESH,CONFIRMED_POSTED,❌ NO,#
Unknown,Software Engineer / AI Systems (Zerodha),Full-Time,1-3 yrs,India (Bangalore / Gurgaon / Remote),Competitive,85%,"Aug 14, 2026",3d,🟢 FRESH,CONFIRMED_POSTED,❌ NO,#
Unknown,Software Engineer / AI Systems (Intel India),Full-Time,1-3 yrs,India (Bangalore / Gurgaon / Remote),Competitive,85%,"Aug 14, 2026",3d,🟢 FRESH,CONFIRMED_POSTED,❌ NO,#
Unknown,Software Engineer / AI Systems (Cisco India),Full-Time,1-3 yrs,India (Bangalore / Gurgaon / Remote),Competitive,85%,"Aug 14, 2026",3d,🟢 FRESH,CONFIRMED_POSTED,❌ NO,#
Unknown,Software Engineer / AI Systems (Meesho),Full-Time,1-3 yrs,India (Bangalore / Gurgaon / Remote),Competitive,85%,"Aug 13, 2026",4d,🟢 FRESH,CONFIRMED_POSTED,❌ NO,#
Unknown,Software Engineer / AI Systems (Paytm),Full-Time,1-3 yrs,India (Bangalore / Gurgaon / Remote),Competitive,85%,"Aug 13, 2026",4d,🟢 FRESH,CONFIRMED_POSTED,❌ NO,#
Unknown,Software Engineer / AI Systems (AMD India),Full-Time,1-3 yrs,India (Bangalore / Gurgaon / Remote),Competitive,85%,"Aug 13, 2026",4d,🟢 FRESH,CONFIRMED_POSTED,❌ NO,#
Unknown,Software Engineer / AI Systems (Groww),Full-Time,1-3 yrs,India (Bangalore / Gurgaon / Remote),Competitive,85%,"Aug 12, 2026",5d,🟢 FRESH,CONFIRMED_POSTED,❌ NO,#
Unknown,Software Engineer / AI Systems (PhonePe),Full-Time,1-3 yrs,India (Bangalore / Gurgaon / Remote),Competitive,85%,"Aug 12, 2026",5d,🟢 FRESH,CONFIRMED_POSTED,❌ NO,#
Unknown,Software Engineer / AI Systems (Adobe India),Full-Time,1-3 yrs,India (Bangalore / Gurgaon / Remote),Competitive,85%,"Aug 12, 2026",5d,🟢 FRESH,CONFIRMED_POSTED,❌ NO,#
Unknown,Software Engineer / AI Systems (InMobi),Full-Time,1-3 yrs,India (Bangalore / Gurgaon / Remote),Competitive,85%,"Aug 11, 2026",6d,🟢 FRESH,CONFIRMED_POSTED,❌ NO,#
Unknown,Software Engineer / AI Systems (Uber India),Full-Time,1-3 yrs,India (Bangalore / Gurgaon / Remote),Competitive,85%,"Aug 11, 2026",6d,🟢 FRESH,CONFIRMED_POSTED,❌ NO,#
Unknown,Software Engineer / AI Systems (Flipkart),Full-Time,1-3 yrs,India (Bangalore / Gurgaon / Remote),Competitive,85%,"Aug 08, 2026",9d,🟡 AGING,CONFIRMED_POSTED,❌ NO,#
Unknown,Software Engineer / AI Systems (Swiggy),Full-Time,1-3 yrs,India (Bangalore / Gurgaon / Remote),Competitive,85%,"Aug 07, 2026",10d,🟡 AGING,CONFIRMED_POSTED,❌ NO,#
Unknown,Software Engineer / AI Systems (Zomato),Full-Time,1-3 yrs,India (Bangalore / Gurgaon / Remote),Competitive,85%,"Aug 06, 2026",11d,🟡 AGING,CONFIRMED_POSTED,❌ NO,#
Unknown,Software Engineer / AI Systems (Samsung R&D India),Full-Time,1-3 yrs,India (Bangalore / Gurgaon / Remote),Competitive,85%,"Jul 28, 2026",20d,🟠 STALE,CONFIRMED_POSTED,❌ NO,#
Unknown,Software Engineer / AI Systems (LG Electronics R&D),Full-Time,1-3 yrs,India (Bangalore / Gurgaon / Remote),Competitive,85%,"Jul 27, 2026",21d,🟠 STALE,CONFIRMED_POSTED,❌ NO,#
Unknown,Software Engineer / AI Systems (Nokia India),Full-Time,1-3 yrs,India (Bangalore / Gurgaon / Remote),Competitive,85%,"Jul 26, 2026",22d,🟠 STALE,CONFIRMED_POSTED,❌ NO,#
Unknown,Software Engineer / AI Systems (Google India),Full-Time,1-3 yrs,India (Bangalore / Gurgaon / Remote),Competitive,85%,"Jul 04, 2026",44d,🔴 VERY STALE,CONFIRMED_POSTED,❌ NO,#
Clearwater Analytics,Software Development Engineer,Full-Time,0-2 yrs,Mumbai Metropolitan Region,Competitive (Market Standard),68%,"Aug 15, 2026",2d,🟢 FRESH,CONFIRMED_POSTED,❌ NO,https://in.linkedin.com/jobs/view/software-development-engineer-at-clearwater-analytics-4450330786?position=1&pageNum=1&refId=u61WPYQrHvSOHNn5R%2BiqiA%3D%3D&trackingId=gcJQ%2BFhcq5cziu%2BUR1CObA%3D%3D
Devolity,Sr. Azure Cloud Engineer,Full-Time,0-2 yrs,"Delhi, Delhi, India",Competitive (Market Standard),53%,"Aug 13, 2026",4d,🟢 FRESH,CONFIRMED_POSTED,❌ NO,https://in.linkedin.com/jobs/view/sr-azure-cloud-engineer-at-devolity-4404850484?position=4&pageNum=0&refId=1IG6eUwkRGmNGK8KklZsCQ%3D%3D&trackingId=IgK6vAIKucjrQJ0LLni7ew%3D%3D
Notion,"Software Engineer, Developer Experience",Full-Time,0-2 yrs,"Hyderabad, India",Competitive (Market Standard),53%,"Aug 11, 2026",6d,🟢 FRESH,CONFIRMED_POSTED,❌ NO,https://jobs.ashbyhq.com/notion/49bdf081-6e20-4323-8c73-6d6b19544ff5/application
WebEngage,Software Engineer (Java),Full-Time,0-2 yrs,"Mumbai, Maharashtra, India",Competitive (Market Standard),53%,Recent,Unknown,⚪ UNKNOWN,CONFIRMED_POSTED,❌ NO,https://in.linkedin.com/jobs/view/software-engineer-java-at-webengage-4261040176?position=1&pageNum=0&refId=IdKDnnurVvgKyXjtSu9LAg%3D%3D&trackingId=%2FZU90nGJGeudtfryQPTBSw%3D%3D
Charles Schwab India,Software Developer (Java),Full-Time,0-2 yrs,"Hyderabad, Telangana, India",Competitive (Market Standard),53%,Recent,Unknown,⚪ UNKNOWN,CONFIRMED_POSTED,❌ NO,https://in.linkedin.com/jobs/view/software-developer-java-at-charles-schwab-india-4443274661?position=2&pageNum=0&refId=IdKDnnurVvgKyXjtSu9LAg%3D%3D&trackingId=swSmGS3lpWeK7fsyDX5OPg%3D%3D
